dept_code,area_km2_raw,population_raw,density_raw,area_from_pop_density,ratio_raw_vs_calc,flag_inconsistent,area_km2
02,7361.7,523342.0,71.1,7360.6469760900145,1.000143061325099,False,7361.7
03,7340.1,333298.0,45.4,7341.36563876652,0.999827601725783,False,7340.1
04,6925.2,168054.0,24.3,6915.802469135802,1.0013588489414116,False,6925.2
05,5548.7,143467.0,25.9,5539.26640926641,1.0017030397234206,False,5548.7
06,4298.6,1128418.0,262.5,4298.735238095238,0.9999685400268341,False,4298.6
07,5528.6,334231.0,60.5,5524.479338842975,1.0007458913146896,False,5528.6
08,5229.4,265893.0,50.8,5234.114173228347,0.9990993369513299,False,5229.4
09,4889.9,155722.0,31.8,4896.9182389937105,0.9985668049472778,False,4889.9
10,6004.2,310447.0,51.7,6004.777562862669,0.9999038161103184,False,6004.2
11,6139.0,379648.0,61.8,6143.171521035599,0.9993209499325691,False,6139.0
12,8735.1,279609.0,32.0,8737.78125,0.999693142924584,False,8735.1
13,5087.5,2087658.0,410.4,5086.8859649122805,1.000120709426544,False,5087.5
14,5534.5,709441.0,127.9,5546.841282251759,0.9977750792525383,False,5534.5
15,5726.0,144196.0,25.2,5722.063492063492,1.0006879525090848,False,5726.0
16,5956.0,352683.0,59.2,5957.483108108107,0.9997510512273062,False,5956.0
17,6863.8,672279.0,97.9,6866.996935648621,0.9995344492390809,False,6863.8
18,7235.0,298660.0,41.3,7231.476997578693,1.0004871760530367,False,7235.0
19,5856.8,240826.0,41.1,5859.513381995133,0.9995369270759803,False,5856.8
21,8763.2,540100.0,61.6,8767.857142857143,0.9994688391038697,False,8763.2
22,6877.6,611859.0,89.0,6874.820224719101,1.0004043415231287,False,6877.6
23,5565.4,115527.0,20.8,5554.182692307692,1.00201961446242,False,5565.4
24,9060.0,417614.0,46.1,9058.872017353578,1.00012451689838,False,9060.0
25,5232.6,547163.0,104.5,5236.00956937799,0.9993488229284511,False,5232.6
26,6530.0,524207.0,80.3,6528.107098381071,1.0002899617899035,False,6530.0
27,6039.9,602714.0,99.8,6039.218436873748,1.0001128561805432,False,6039.9
28,5880.0,433129.0,73.7,5876.919945725916,1.000524093283987,False,5880.0
29,6733.0,933455.0,138.6,6734.88455988456,0.9997201793337654,False,6733.0
2A,4014.2,168306.0,41.9,4016.8496420047736,0.9993403681389849,False,4014.2
2B,4665.6,187180.0,40.1,4667.83042394015,0.9995221711721338,False,4665.6
30,5852.8,770940.0,131.7,5853.7585421412305,0.9998362518483929,False,5852.8
31,6309.3,1471468.0,233.2,6309.897084048028,0.9999053734094115,False,6309.3
32,6256.8,192645.0,30.8,6254.707792207792,1.0003345012847467,False,6256.8
33,9975.6,1690493.0,157.6,10726.47842639594,0.9299976752343844,False,9975.6
34,6101.0,1230289.0,201.7,6099.598413485374,1.0002297834086138,False,6101.0
35,6774.7,1120666.0,165.4,6775.489721886336,0.9998834443090091,False,6774.7
36,6790.6,216069.0,31.8,6794.622641509433,0.9994079668994628,False,6790.6
37,6126.7,619362.0,101.1,6126.231454005935,1.0000764819281776,False,6126.7
38,7431.5,1298990.0,174.8,7431.292906178489,1.000027867804987,False,7431.5
39,4999.2,257973.0,51.6,4999.476744186047,0.9999446453698642,False,4999.2
40,9242.6,433570.0,46.9,9244.56289978678,0.9997876698111031,False,9242.6
41,6343.4,328543.0,51.8,6342.528957528958,1.000137333621474,False,6343.4
42,4780.6,774133.0,161.9,4781.550339715874,0.9998012486226528,False,4780.6
43,4977.1,228654.0,45.9,4981.568627450981,0.9991029678028812,False,4977.1
44,6874.4,1487570.0,218.3,6814.338066880439,1.008814052447952,False,6874.4
45,6775.2,691268.0,102.0,6777.137254901961,0.9997141484923359,False,6775.2
46,5216.5,176473.0,33.8,5221.094674556213,0.9991199786936245,False,5216.5
47,5360.9,333602.0,62.2,5363.376205787781,0.9995383121204309,False,5360.9
48,5166.9,76486.0,14.8,5167.9729729729725,0.9997923803048925,False,5166.9
49,7106.6,833776.0,116.4,7163.024054982818,0.9921228723302182,False,7106.6
50,5951.5,497522.0,83.8,5937.016706443915,1.0024394901129998,False,5951.5
51,8169.1,563076.0,68.9,8172.365747460087,0.9996003914214068,False,8169.1
52,6210.6,168331.0,27.1,6211.476014760147,0.9998589683421355,False,6210.6
53,5175.2,305468.0,59.0,5177.423728813559,0.999570495109144,False,5175.2
54,5245.9,732236.0,139.6,5245.243553008596,1.0001251509076308,False,5245.9
55,6211.4,180290.0,29.0,6216.896551724138,0.9991158688779189,False,6211.4
56,6822.6,783390.0,114.8,6823.954703832753,0.9998014781909395,False,6822.6
57,6216.3,1051309.0,169.1,6217.084565345949,0.9998738049422197,False,6216.3
58,6816.7,201417.0,29.5,6827.6949152542375,0.9983896592641137,False,6816.7
59,5742.8,2615635.0,455.4,5743.599033816426,0.9998608827301974,False,5742.8
60,5860.2,829899.0,141.6,5860.868644067797,0.9998859138280682,False,5860.2
61,6103.4,275201.0,45.1,6102.017738359202,1.0002265253396607,False,6103.4
62,6671.4,1457905.0,218.5,6672.33409610984,0.9998600045956354,False,6671.4
63,7969.7,664453.0,83.4,7967.062350119903,1.0003310693156626,False,7969.7
64,7644.8,706564.0,92.4,7646.796536796536,0.9997389054636241,False,7644.8
65,4464.0,231349.0,51.8,4466.196911196911,0.9995081024772098,False,4464.0
66,4116.0,496855.0,120.7,4116.445733222867,0.9998917189119562,False,4116.0
67,4755.0,1163810.0,244.8,4754.125816993464,1.0001838788118336,False,4755.0
68,3525.2,770738.0,218.6,3525.7913998170175,0.9998322646606239,False,3525.2
69,3249.1,1914667.0,589.3,3249.0531138639067,1.000014430707794,False,3249.1
70,5360.1,233185.0,43.5,5360.574712643678,0.9999114437034973,False,5360.1
71,8574.7,550310.0,64.2,8571.806853582553,1.0003375188530104,False,8574.7
72,6206.0,566733.0,91.3,6207.3713033954,0.9997790846836164,False,6206.0
73,6028.3,448226.0,74.4,6024.543010752688,1.0006236139804474,False,6028.3
74,4387.8,861158.0,196.3,4386.948548140601,1.000194087496139,False,4387.8
75,105.4,2103778.0,19959.9,105.40022745604936,0.9999978419776233,False,105.4
76,6277.6,1260964.0,200.9,6276.575410652065,1.0001632401876661,False,6277.6
77,5915.3,1468108.0,248.2,5915.020145044319,1.0000473125955311,False,5915.3
78,2284.4,1485086.0,650.2,2284.0449092586896,1.0001554657440714,False,2284.4
79,5999.4,375229.0,62.5,6003.664,0.9992897670489221,False,5999.4
80,6170.1,565413.0,91.6,6172.631004366813,0.9995899634426516,False,6170.1
81,5757.9,397352.0,69.0,5758.724637681159,0.9998568020294348,False,5757.9
82,3718.3,265817.0,71.5,3717.72027972028,1.0001559343458093,False,3718.3
83,5972.5,1119307.0,187.4,5972.822838847385,0.9999459486986144,False,5972.5
84,3567.3,572056.0,160.4,3566.43391521197,1.000242843357993,False,3567.3
85,6719.6,713609.0,106.2,6719.482109227872,1.0000175446217747,False,6719.6
86,6990.4,438897.0,62.8,6988.8057324840765,1.0002281173031484,False,6990.4
87,5520.1,373167.0,67.6,5520.221893491124,0.9999779187334358,False,5520.1
88,5873.8,357248.0,60.8,5875.789473684211,0.9996614116804012,False,5873.8
89,7427.4,332267.0,44.7,7433.266219239373,0.9992108153984598,False,7427.4
90,609.4,140255.0,230.3,609.0099869735128,1.0006404049766497,False,609.4
91,1804.4,1338485.0,742.0,1803.888140161725,1.0002837536468472,False,1804.4
92,175.6,1654712.0,9401.8,175.99948945946522,0.9977301669414375,False,175.6
93,236.2,1704316.0,7221.7,235.9992799479347,1.0008505112901598,False,236.2
94,245.0,1426929.0,5824.2,245.0,1.0,False,245.0
95,1245.9,1281653.0,1028.6,1246.0169161967724,0.9999061680501665,False,1245.9
971,1628.4,384160.0,235.9,1628.486646884273,0.9999467930029156,False,1628.4
972,1128.0,360630.0,319.7,1128.026274632468,0.9999767074286665,False,1128.0
973,83533.9,293996.0,3.5,83998.85714285714,0.9944647206084436,False,83533.9
974,2503.7,889679.0,355.3,2504.021953278919,0.999871425536626,False,2503.7
976,376.0,256518.0,682.2,376.0158311345646,0.9999578976913901,False,376.0
